text,created_at,tag,sentiment
"Hariara Tambunan: Lahir Di Keluarga Militer, Berdarah Kuning Golkar Sejak 1987

https://t.co/iY0kBCkSnq",2023-05-27 00:00:02,Golkar,neutral
@PKSejahtera Jalan desa yg dibangun slma pemerintahan  jokowi brp km min.......orang udah kerja km msh kemalan ae,2023-05-27 00:00:19,PKS,neutral
"@OmpungGuru @IriawanW Ya maklum ja dia kan gk prnah memikirkan nasib Bangsa ni ke depannya,mikir perutnya sndiri asal kenyang masa bodoh org lain.",2023-05-27 00:00:29,Golkar,negative
"@Anak__Ogi @Pak_JK @aniesbaswedan betul mich, pak jk mencoba memecah belah dan merusak kedamaian padahal hampir semua daerah ada pecinan dan itu berdiri sejak lama dan tidak ada masalah namun jk mencoba merusak dan memecah belah bangsa",2023-05-27 00:00:42,NasDem,negative
"Turunkan Kemiskinan Ekstrem, Dana Desa Diusulkan Naik Jadi Rp 5 M per Desa
https://t.co/PuXowS32oF

@cakimiNOW
@EmHasanuddin
@Jazilul_Fawaid
@CucunA44
@YanuarPrihatin1
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@dpwpkbjabar
@Kosasih7Ujang",2023-05-27 00:00:53,PKB,neutral
@Dennysiregar7 @Gerindra Yang pasti dananya masih ngga berseri sih bang....makanya benalu2 di partainya pura2 mendukung pa prabowo......sampe lupa mendidik dan membesarkan kader2nya sendiri😁😁,2023-05-27 00:00:53,Gerindra,negative
"@H4T14K4LN4L42 @prabowo Tanya mpud
"" Mau Tak Mau hrs Mau"".
""Boleh tak Boleh hrs Boleh""
Dan klian Gerindra MANUT AJA
KLIAN KECEWAKAN KAMI RAKYAT
2 X MILIH GERINDRA
2 X DIKALAHKAN BAHKAN DG CURANG
MANA KEBERANIAN KLIAN
LAWAN KECURANGAN
KELEDAI AJA GK KAN TERPURUK 2X
GK KAN PILIH LAGI",2023-05-27 00:01:32,Gerindra,negative
"@waeh_aya @PKSejahtera Masalahnya satu kordinasi...

Pemot Depok terlalu malas buat ngurusinnya dgn PLN

Mana ada di kota lain macam gitu..

Depok gitu loh",2023-05-27 00:01:33,PKS,negative
@PKSejahtera Ada yg suka gigit....gigit.... https://t.co/o4n2b6LQIy,2023-05-27 00:01:35,PKS,neutral
@DoankWarto Anies telah merubah partai sehat Nasdem Jadi Partai Pesakitan. Akibat korupsi 8 T untuk biaya Kampanye,2023-05-27 00:01:36,NasDem,negative
"@Indones1aku @Galih_Akek2 ngaku khilaf trus nikah siri gak pk fatwa haram dr MUI jd bukan urusan pidana, gampang kn?",2023-05-27 00:01:44,NasDem,negative
@inilahdotcom ini artinya prabowo kalah nomor 3,2023-05-27 00:02:38,Gerindra,neutral
"#GIDLE #Queencard

PDIP                  Golkar              PAN https://t.co/TP7NZ92glY",2023-05-27 00:02:47,Golkar,neutral
@Siwahitam @democrazymedia Tenggelamkan @PDI_Perjuangan,2023-05-27 00:03:01,PDI-P,neutral
@yusuf_dumdum Iya fulitik yg di pake gerombolan Lo kotor n jorok...Hanya banci yg ga berani bertarung secara fair...!!,2023-05-27 00:03:21,NasDem,negative
@__AnakKolong @PDemokrat Koruptor bajingan semua dari partai apapun.pdip tetap juaranya,2023-05-27 00:03:45,PartaiDemokrat,negative
