text,created_at,tag,sentiment
"@Partai_Slebew @AgusYudhoyono @PDemokrat Kalau membaca twitnya Pak @SBYudhoyono kemungkinan besar Demokrat diambil Pak Moeldoko.
https://t.co/lzOIGtMHvp",2023-05-31 00:00:04,PartaiDemokrat,negative
"@zoelfick Suara PDIP jelek di Aceh karena beberapa faktor
1. Faktor sejarah soekarno
2. Faktor DOM jamannya Megawati.

Aceh punya memorable yg buruk ketika di pegang oleh rezim PDIP.",2023-05-31 00:00:05,Gerindra,negative
"@tvOneNews wahahahaha 😆
wahai @gerindra, klean red flag 🚩🚩🚩🚩",2023-05-31 00:00:09,Gerindra,positive
@Hasbil_Lbs @KSPgoid @PDemokrat @jokowi Presiden nya aja cawe2... Gak usah ngarepin mereka.... Yg penting sikap kita terus melawan dan minta pertolongan kepada Alloh saja,2023-05-31 00:00:12,PartaiDemokrat,negative
"@Kowidongo @the3brothers2 @Pieter_Sun01 @UwohMe @Yudiantiyaman @LonenyDragon @AntonKu32183838 @Amran_bin_Ali @dady_tri @PribadiBales @JokoPintar2 @JinNonik @Wawan_74 @Ezharhap @Daniel_Moreno77 @creampie_99 @KasmaranWahyu @Kode_Bagus @Irfan_Cowgan @RefublikAteis @Diek_Clev @asasfuro @madularang @DiposuroP @Karuhun_69 @hoax_bukan @SobatMIDO @aikel112629 @roedinapit @tkngsiomay @ZtrideorDIE @KavezuAzila @ScioCogitoCredo @wrahardian2 @sugi_0706 @PUTRY_NUSANTARA @gus_ur_ @HeryIdris5 @Samsulhuda1988 @puspita3_eka @MUIPusat @cholilnafis @krishjogja @Anatta_21 @amun_ra2 @SBYudhoyono @NasDem Ya lu analisa sendiri, kalau gua bilang PENGHIANAT BANGSA INI ya pribumi kaya saya yg sok NKRI dan Pancasilais tetapi kelakuan IBLIS",2023-05-31 00:00:13,NasDem,neutral
@tvOneNews Partai mau tenggelam GK introspeksi,2023-05-31 00:00:16,Gerindra,neutral
"@PDemokrat Dulu kayaknya jg adalah KLB PKB, kalau gak salah di ancol.. yg memilih muhaimin iskandar...",2023-05-31 00:00:20,PartaiDemokrat,neutral
"Partai NasDem mengatakan akan ada kejutan calon wakil presiden pendamping bakal capres Anies Baswedan dalam satu atau dua hari ke depan. Peneliti Indikator Politik Bawono Kumoro menilai sosok bakal cawapres Anies itu bukan AHY atau Aher
https://t.co/ESe1RrJLa5",2023-05-31 00:00:27,NasDem,neutral
@PDemokrat sungguh politik itu kejam,2023-05-31 00:00:31,PartaiDemokrat,negative
"Sugeng menyatakan, sosok cawapres Anies nantinya bakal sangat mengejutkan banyak pihak.

https://t.co/1EJ2wsmdE0",2023-05-31 00:00:57,NasDem,neutral
