text,created_at,tag,sentiment
"Jika seorang Adian Napitupulu yang notabene adalah salah seorang dedengkot muda PDI-P bisa menerima Erick Thohir diusung menuju RI-2 di 2024, maka semakin lapanglah jalannya.

Selamat Tahun Baru 2023, Kang @erickthohir dan kawan² NKRI!

#BangkitBersamaET https://t.co/PBuMyty4lG",2023-01-01 00:00:33,PDI-P,positive
@Boc4h_Old Jgn2 di jadikan kuda troya,2023-01-01 00:02:13,PKB,negative
@democrazymedia Terbukti PDI-P mendapatkan apresiasi dari penduduk Indonesia biss menang di pemilu lalu. Prediksi/surfe nasdem akan anjlok sedang PDIP akan menang lagi di 2024,2023-01-01 00:02:14,PDI-P,positive
"@tempodotco Knp @aniesbaswedan gak menolak? Apa Krn Nasdem mendukung omnibuslaw? aplg presiden akn resufle menteri. apa Nasdem takut dikeluarkan dr kabinet? Omnibuslaw kbarnya titipan pengusaha, Nasdem isinya pengusaha. @PDemokrat @PKSejahtera @AgusYudhoyono",2023-01-01 00:02:48,PKS,negative
"@Dennysiregar7 Lagian belagu sih ? Nyapresin orang brengsek tanpa persetujuan koalisinya. Semoga nasdem bubar, paloh ambyar https://t.co/CKvEOqSQnm",2023-01-01 00:03:15,NasDem,negative
"@GeorgeVanMars @Asamor_Amrie77 @PDemokrat @AndiArief @Andiarief__ wah 50 jeti.  🤣

happy new year 🎉😉",2023-01-01 00:03:24,PartaiDemokrat,positive
@bozzvanc1 Nah...,2023-01-01 00:05:25,PDI-P,neutral
@PDemokrat Preet  . Tunjukkan jika ada orang yang korupsi dan laporkan  dulu sebagai dasar . Gedabrus tok .,2023-01-01 00:05:37,PartaiDemokrat,negative
"@BlueNeo81 Bila_pun Pak Jokowi tidak mendepak para menteri dari Nasdem, bukan berarti beliau takut dengan Ancaman kau..kau...kau...para penghamba kekuasaan ❗",2023-01-01 00:06:07,NasDem,negative
@SartonoHutomo Tp kubu nasdem kayaknya nolak AHY maupun Aher,2023-01-01 00:06:31,NasDem,neutral
@wahyurejab  anies dan nasdem kolaborasi kehancuran,2023-01-01 00:07:12,NasDem,neutral
@AndisBoga @pengarang_sajak Hahahaha.. faktanya karna katanya @aniesbaswedan @NasDem,2023-01-01 00:07:21,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/bYGo0xaNET",2023-01-01 00:07:54,NasDem,negative
@kertaningnaga @ganjarpranowo @PDI_Perjuangan 😂😂😂😂😂lucu...lucu...😂😂😂,2023-01-01 00:08:02,PDI-P,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/dDYWcULjvJ",2023-01-01 00:08:04,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/H39geF6hle",2023-01-01 00:08:13,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/67h2GphbPn",2023-01-01 00:08:22,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/OQcFUL6yJM",2023-01-01 00:08:39,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/WQ7i6K6k9j",2023-01-01 00:08:49,NasDem,negative
@Official_PAN @ZUL_Hasan Tunda pemilu gmn Zul ?,2023-01-01 00:08:56,PAN,negative
@bozzvanc1 Nah,2023-01-01 00:09:21,PDI-P,neutral
@ganjarpranowo @PDI_Perjuangan https://t.co/NWssItoFZS,2023-01-01 00:10:00,PDI-P,neutral
@ariessw_io Kalau diusung sama PDIP mah mikir2 dulu,2023-01-01 00:11:04,NasDem,negative
"@YanHarahap Udah pekok skrang tambah lg sok tau!!! Kader nya @PDemokrat kya bgni semua.., pantes klo partai nya nyungsep!!!",2023-01-01 00:11:54,PartaiDemokrat,negative
"mampus lu nasdem, anies bodoh gitu kok dipelihara gak lama hancur tu partai https://t.co/OqzcOW8b1Y #HTIDukungAnies",2023-01-01 00:12:29,NasDem,negative
@OposisiCerdas Hajar trus MakCan,2023-01-01 00:12:41,NasDem,neutral
"@DIDIK_RODENT @bachrum_achmadi Yg bilang ga ambisius otakny tersumbat, kalo ga ambisius mah ga bagiin duit umat di baznas pake bendera partai buat kader partainya kalii cuy",2023-01-01 00:12:44,NasDem,negative
"Partai Preman ...
Lu jual gue beli 
Lagian tibang Nasdem 
SAMPAH ..NIJING CUIH.. https://t.co/AA4FmCNFqS",2023-01-01 00:13:52,NasDem,negative
"@sultan_pasundan @caul_tanjung Waktu ditankep Nasdem, apa waktu menjabat dia PDIP, sekedar nanya",2023-01-01 00:14:12,NasDem,neutral
"Selamat Tahun Baru 2023 
@cakimiNOW semoga Kesehatan, kesuksesan dan keberkahan akan selalu menyertai, Aamiin
#GusMuhaiminPresiden2024
#AnisGusMuhaimin2024
@DPP_PKB 
@EmHasanuddin 
@halimiskandarnu 
@MalikHaramain64 
@dpwpkbsulteng https://t.co/mD0jtORKkJ",2023-01-01 00:14:47,PKB,positive
"@nusantara_one Kadrun tak mau baca berita, para buzzer2 Anies jika ada berita miring soal Ganjar dan cuma baca judul, serentak seluruh buzzer2 membagi berita tsb, tapi sayangnya berita itu cuma buat konsumsi kadrun yg haus akan berita negatif Ganjar. Kasian kadrun hidup dalam kegelapan terus.. https://t.co/3iol3F9tGB",2023-01-01 00:15:08,NasDem,negative
@modien_ganesa @MandiriRusman @PaimoMontok @LAODE79285118 @KeikaSisi @Kris_Simpati @BlekokUhuy @Rasanya_Abah @MetdroS @JoyKailan @MNurhuda0209 @AntonKu08408962 @763916e81 @HRMalik12 @elonmusk @_M45Broo @BondanP63263423 @enny_endah2 @Kanjeng2022 @HendraSien @harris_new2 @Gatal_Jamur @fariedza @Era25803754 @chillinaris_inc @BM7NOGO @jokowi @ruhutsitompul @aleumdaoen @alifahzi @azisaleasa @detektifcanon94 @Twitter @LumowaS @Karuhun_69 @kadrunbuatlucu2 @BeiKhiar @PlateJohnny @kemkominfo @ppidkominfo @BPRTIK_KOMINFO @Ir2Kominfo @fadlizon @Gerindra @DPR_RI @ASEAN @WartaEkonomi @aniesbaswedan @NasDem @PKSejahtera Bukti politik identitas #Anies https://t.co/FgMDc3nIFK,2023-01-01 00:15:10,Gerindra,neutral
"@andre_rosiade @Fahrihamzah @prabowo bagus join nasdem deh, yakin mau kalah ke4 kali??",2023-01-01 00:15:22,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/g5GoTBQmq2",2023-01-01 00:15:56,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/UDMxyK4WbJ",2023-01-01 00:16:08,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/Q2po1un7eS",2023-01-01 00:16:20,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/hXvMlRdKq7",2023-01-01 00:16:32,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/Coondentu0",2023-01-01 00:16:42,NasDem,negative
"Kasihan nasibmu Anies, ternyata dukungan Nasdem hanya menjadi ajang coba-coba berhadiah saja.

#HTIDukungAnies
#AniesDidukungKHILAFAH
#TenggelamkanAniesBaswedan
#GoodByeNasdemAnies
#AniesDidukungKoruptor
#AniesPendukungKhilafah
#AniesPendukungOrmasRadikal https://t.co/vFVS5APkgy",2023-01-01 00:16:54,NasDem,negative
@didiferdianz  anies dan nasdem kolaborasi kehancuran,2023-01-01 00:17:04,NasDem,neutral
@mediapemberani https://t.co/XK2KKJGfqz,2023-01-01 00:17:13,NasDem,neutral
@aniesbaswedan @NasDem @NasDem_Sulsel77 .,2023-01-01 00:17:14,NasDem,neutral
"@zarnaout45 NASDEM ternyata kekeuh dukung Anies hingga tidak disukai OLIGARKI. Kenapa NASDEM kekeuh dukung Anies karena tidak ingin Indonesia terus dikuasai OLIGARKI yg tidak perduli sama sekali dengan kesejahteraan rakyat Indonesia,mereka hanya perduli pada perutnya sendiri dan kelompoknya.",2023-01-01 00:17:17,NasDem,negative
"@an_ti_ka_drun Sudah berkhianat, buang saja",2023-01-01 00:17:33,NasDem,negative
"@BennyHarmanID Tegar apaan, ketakutan banget sampai ngancam segala",2023-01-01 00:17:46,NasDem,negative
Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,2023-01-01 00:19:20,Golkar,neutral
@zarnaout45 https://t.co/XK2KKJGfqz,2023-01-01 00:19:40,NasDem,neutral
"@hnurwahid @FPKSDPRRI @PKSejahtera Pak anda itu legislatif, tahu proses hukumnya dan seyogyanya anda faham dengan mekanisme itu,  bukan curhat di medsos yg bisa jadi membingungkan masyarakat atas keganjilan tingkah laku anda...",2023-01-01 00:20:32,PKS,negative
@machineheadz @AgusYudhoyono Oh ya jelass,2023-01-01 00:21:06,PartaiDemokrat,neutral
"@LAODE79285118 @AntonKu08408962 @PaimoMontok @PutrantoSony @MandiriRusman @MetdroS @BlekokUhuy @HRMalik12 @soppyan @KeikaSisi @Kris_Simpati @Rasanya_Abah @JoyKailan @MNurhuda0209 @763916e81 @elonmusk @_M45Broo @BondanP63263423 @enny_endah2 @Kanjeng2022 @HendraSien @harris_new2 @Gatal_Jamur @fariedza @Era25803754 @chillinaris_inc @BM7NOGO @jokowi @ruhutsitompul @aleumdaoen @alifahzi @azisaleasa @detektifcanon94 @Twitter @LumowaS @Karuhun_69 @kadrunbuatlucu2 @BeiKhiar @PlateJohnny @kemkominfo @ppidkominfo @BPRTIK_KOMINFO Jika #Anies murtad, siapa bacapres seiman pengganti?

@PGI_Oikoumene 
@KomsosKWI 
@MUIPusat 
@UasAbdulSomad
@AdiHidayatLcMa
@NasDem 
@PKSejahtera 
@PDemokrat https://t.co/pTvEZiZq9I",2023-01-01 00:21:30,PKS,neutral
"@hnurwahid @FPKSDPRRI @PKSejahtera Seharusnya DPR punya hak interpelasi, karena mengesahkan UU yg inkonstitusional. Itu DPR isinya bajingan apa manusia pilihan rakyat ya",2023-01-01 00:22:00,PKS,negative
"@_SEKNAS_RI @modien_ganesa @MandiriRusman @PaimoMontok @KeikaSisi @Kris_Simpati @BlekokUhuy @Rasanya_Abah @MetdroS @JoyKailan @MNurhuda0209 @AntonKu08408962 @763916e81 @HRMalik12 @elonmusk @_M45Broo @BondanP63263423 @enny_endah2 @Kanjeng2022 @HendraSien @harris_new2 @Gatal_Jamur @fariedza @Era25803754 @chillinaris_inc @BM7NOGO @jokowi @ruhutsitompul @aleumdaoen @alifahzi @azisaleasa @detektifcanon94 @Twitter @LumowaS @Karuhun_69 @kadrunbuatlucu2 @BeiKhiar @PlateJohnny @kemkominfo @ppidkominfo @BPRTIK_KOMINFO @Ir2Kominfo @fadlizon @Gerindra @DPR_RI @ASEAN @WartaEkonomi @aniesbaswedan @NasDem @PKSejahtera Mau murtad itu urusan anies.  

Perlu diindahkan bhw pejabat publik itu harus menjadi contoh yg baik buat rakyatnya.

Apakah itu contoh yg baik ?
Semua kita kembalikan kepada rakyat.",2023-01-01 00:22:38,Gerindra,negative
"@panca66 2024 anti coblos @PDemokrat , kader nya kyk gini. Banjir di buat mainan.",2023-01-01 00:22:45,PartaiDemokrat,negative
@democrazymedia Mantap... singkat padat jelas,2023-01-01 00:22:50,NasDem,positive
Partai Nasdem membantah ikut serta sebagai parpol yang mengajukan gugatan uji materi sistem pemilu proporsional terbuka menjadi tertutup.  https://t.co/KbSdrt6Fy7,2023-01-01 00:23:02,NasDem,neutral
@PinkyStevanie Udah jadi orang Golkar yah...,2023-01-01 00:23:14,Golkar,negative
@JatengPD @AgusYudhoyono @PDemokrat Mantap👍,2023-01-01 00:23:19,PartaiDemokrat,positive
@JatengPD @AgusYudhoyono @PDemokrat 🙏🤝🙏,2023-01-01 00:23:24,PartaiDemokrat,positive
@JatengPD @AgusYudhoyono @PDemokrat 👍,2023-01-01 00:23:29,PartaiDemokrat,positive
