text,created_at,tag,sentiment
Elite Gerindra Jelaskan Hubungan Marzuki Alie dengan Gerindra https://t.co/HYYSDlVw9y,2023-05-02 00:00:17,Gerindra,neutral
"@sakitotak3 @4HurufNamaKu @prabowo @Gerindra @gibran_tweet @ganjarpranowo @PDI_Perjuangan UUnya benar ada..
Dan itu yg menghalangi Gibran maju sebagai Capres ato Cawapres..
Jadi kemungkinan itu ga bakal terwujudp.
Kan Gibran belum 40th..

😁",2023-05-02 00:00:29,Gerindra,negative
@MarahIchsan no lie no lie ...nolnolnol ... #janganlupahiburan https://t.co/DR8wgYyg7M,2023-05-02 00:00:37,Golkar,neutral
@geloraco Sy pikir kalau mmg @PDI_Perjuangan ingin berkuasa kembali lebih baik dukung Prabowo-Puan kemungkinan kemenangan lebih besar dan rakyat masih melihat trah soekarno dipentas politik nasional...saran saja nih min...??🙏🙏,2023-05-02 00:00:38,PDI-P,positive
"@bachrum_achmadi Selama 2 bulan ini nasdem yg biayai kampanye anies, smtr elektabilitas anies stagnan diperingkat 3, SP itu pengusaha jelas nggak mau rugi, kalo PD paksakan ahy bisa bisa nasdem BALIK KANAN",2023-05-02 00:00:45,NasDem,negative
@MarahIchsan sdh takdir pasti tereleminasi... turut prihatin 😭 https://t.co/aT7fvHeyjG,2023-05-02 00:00:59,Golkar,negative
@TampubolonTjoki 🤪😜😀,2023-05-02 00:01:00,Golkar,positive
"@Listy9021 @ganjarpranowo @PDI_Perjuangan @psi_id Sebaiknya GP/Hasto PDIP mending diam tak berkomentar; kan banyak anak muda simpatisan PSI dan swing voters jadi kecewa😉.

PSI kan hanya ungkapkan gagasan serta niat baik dukung GP; tdk menyerang, kok responnya negatif 😢.

Aku tetap GP so far, terbaik dari yg ada saat ini 💪🙏.",2023-05-02 00:01:01,PDI-P,negative
"@Aliefson @ganjarpranowo @Dennysiregar7 @S0BATANIES @PKSejahtera @NasDem @DPD_PDIP_JABAR @PartaiGolkar @DPP_PKB @nahdlatululama @muhammadiyah Ya, rentetan aturan masa kerja memang sprt tak habis2nya ingin memginjak martabat buruh",2023-05-02 00:01:04,PKB,negative
@bengkeldodo @abahnanisa @4Y4NKZ @Alie_Fahnoor @AndreasSolusi @AntiPekines @are_inismyname @Chaves1305 @florieliciouss @genx36545403 @Lacak08 Kumpulan pecundang....,2023-05-02 00:01:07,Gerindra,neutral
@KangManto123 @NasDem Katanya survei kalah tapi plg di banyak di fitnah😜artinya Apa 🤣🤣mereka takut bgt kalah  karena berarti  kena jerat hukum https://t.co/JCT00nm1yZ,2023-05-02 00:01:07,NasDem,negative
"@LindaSaibi3 @Putrakantong @DPP_PPP Dasar kacung lu.. otak nya semplak,dungu di pelihara",2023-05-02 00:01:10,PPP,negative
@MarahIchsan Anies dan parpol pengusungnya sungguh tidak tahu diri. Mereka menilai Anies jauh lebih tinggi drpd nilai sebenarnya!,2023-05-02 00:01:25,Golkar,negative
@AgusYudhoyono Ok,2023-05-02 00:01:34,PartaiDemokrat,neutral
Isu Sandiaga akan Jadi Cawapres Ganjar Lukai Hati Gerindra dan Prabowo https://t.co/JtLqOZPyh7 https://t.co/lRUDMMFJWx,2023-05-02 00:01:35,Gerindra,neutral
@StefanAntonio__ @ekowboy2 @aniesbaswedan @ganjarpranowo Jalan2 di jateng rusak berat padahal presidennya @PDI_Perjuangan  gubernur nya @PDI_Perjuangan bupatinya @PDI_Perjuangan rakyatnya mayoritas milih @PDI_Perjuangan,2023-05-02 00:01:35,PDI-P,positive
"Hengkang dari Gerindra tapi PPP Dukung Ganjar, Sandiaga Uno Kena PHP? https://t.co/pqOJGZqAwQ",2023-05-02 00:01:56,Gerindra,neutral
"@aewin86 Kapal Gerindra pemilu kali ini sptnya bakal ""penuh"", awas oleng aja...",2023-05-02 00:02:01,Gerindra,negative
"@ajengcute16__ Dijegal @PKSejahtera 
@aniesbaswedan https://t.co/xU72kZIJUq",2023-05-02 00:02:03,PKS,neutral
@illiyin_syafa @DPP_PPP Rupanya anda suka juga ya ?😛,2023-05-02 00:02:06,PPP,negative
@Aloysius_73 🤪😜😀,2023-05-02 00:02:22,Golkar,positive
@AgusYudhoyono https://t.co/7tEHIGtJfQ,2023-05-02 00:02:30,PartaiDemokrat,neutral
"@DPP_PPP Hampir semua yang komen, isinya bernada negatif terhadap P3, sepertinya partai ini akan ditinggal pemilihnya pada pemilu 2024",2023-05-02 00:02:31,PPP,negative
