text,created_at,tag,sentiment
"@HmfaqihA @PKSejahtera Itu sinyal, bahwa mrk mintanya Cak Lontong Pak Yai....🤣🤣🤣",2023-04-21 00:00:19,PKS,neutral
"Ketua Umum Partai Gerindra Prabowo Subianto, dinilai sebagai sosok yang paling tepat untuk melanjutkan pembangunan pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:01:49,Gerindra,neutral
"@dwioktariyadi @WidyoLita @hnurwahid @rahmadiheru88 @PKSejahtera Mantef,, kalau nungul 👍👍",2023-04-21 00:02:27,PKS,neutral
@koffie_lover @BBerizik @AgusYudhoyono @jokowi 😝,2023-04-21 00:03:03,PartaiDemokrat,neutral
@kangenband123 @ocongBoyy @KemenkesRI @andre_rosiade @PKSejahtera Waduh,2023-04-21 00:03:22,PKS,neutral
"Shalat Id di Halaman Kantor Partai Nasdem Selayar Berlangsung Khidmat
https://t.co/puKSsiqniO  @NasDem https://t.co/OLVWj4UNKm",2023-04-21 00:03:22,NasDem,neutral
"Mayoritas masyarakat mendukung pembentukan Koalisi Besar yang digagas oleh lima partai politik, yakni Gerindra, PKB, Golkar, pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:03:29,Golkar,neutral
"Ketua Umum Partai Gerindra itu mendapat dukungam sebesar 32,1 persen responden. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:03:33,Gerindra,neutral
@HensuAja @PDemokrat @AgusYudhoyono 🤣🤣🤣,2023-04-21 00:04:23,PartaiDemokrat,positive
Elektabilitas Ketua Umum Partai Gerindra Prabowo Subianto menempati posisi teratas sebagai calon presiden (capres) top of mind pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,2023-04-21 00:04:25,Gerindra,neutral
"Elektabilitas Prabowo Subianto kian moncer. Nama Ketua Umum Partai Gerindra itu selalu berada di peringkat teratas, setiap kali digelar pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:05:28,Gerindra,positive
"Ketua Umum Partai Gerindra Prabowo Subianto, dinilai sebagai sosok yang paling tepat untuk melanjutkan pembangunan pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:07:13,Gerindra,neutral
Elektabilitas Ketua Umum Partai Gerindra Prabowo Subianto menempati posisi teratas sebagai calon presiden (capres) top of mind pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,2023-04-21 00:08:06,Gerindra,neutral
"@denmaspudji @AgusYudhoyono Partai GUREM..,😆🤣",2023-04-21 00:08:23,PartaiDemokrat,neutral
"Mayoritas masyarakat mendukung pembentukan Koalisi Besar yang digagas oleh lima partai politik, yakni Gerindra, PKB, Golkar, pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:08:49,Golkar,neutral
"Ketua Umum Partai Gerindra itu mendapat dukungam sebesar 32,1 persen responden. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo",2023-04-21 00:08:58,Gerindra,neutral
@04_zainal @AgusYudhoyono Walaupun Partai jadi Partai Gurem,2023-04-21 00:10:28,PartaiDemokrat,neutral
"@Gerindra ini dapet dare suruh cosplay jadi mimin, kiat-kiatnya gimana min?",2023-04-21 00:10:40,Gerindra,neutral
@brokenwheeI Lessa L nya lucu terus,2023-04-21 00:11:12,Gerindra,positive
@brokenwheeI @Gerindra Rnb aja sih min,2023-04-21 00:12:07,Gerindra,neutral
