text,created_at,tag,sentiment
"Oleh karena itu Badan Pengawas Pemilu (Bawaslu) harus segera mengambil tindakan tegas atas kegiatan Anies Baswedan dan Nasdem yang sedang melakukan safari politik atau kampanye. Selain melanggar aturan juga bisa menimbulkan rasa iri dari pihak lain.

Pernah
Rangking 1 https://t.co/ED7wq8cXCU",2022-12-17 00:00:00,NasDem,negative
"Oleh karena itu Badan Pengawas Pemilu (Bawaslu) harus segera mengambil tindakan tegas atas kegiatan Anies Baswedan dan Nasdem yang sedang melakukan safari politik atau kampanye. Selain melanggar aturan juga bisa menimbulkan rasa iri dari pihak lain.

Pernah
Rangking 1 https://t.co/RuWHAsPYAm",2022-12-17 00:00:01,NasDem,negative
"Oleh karena itu Badan Pengawas Pemilu (Bawaslu) harus segera mengambil tindakan tegas atas kegiatan Anies Baswedan dan Nasdem yang sedang melakukan safari politik atau kampanye. Selain melanggar aturan juga bisa menimbulkan rasa iri dari pihak lain.

Pernah
Rangking 1 https://t.co/i27o8yheNn",2022-12-17 00:00:01,NasDem,negative
Syarif menyebut birokrasi pasca Anies lengser ada kesamaan irisan jaman Ahok. https://t.co/CP2YZNCNiR,2022-12-17 00:00:02,Gerindra,neutral
@chusnuIch_ @PDI_Perjuangan @ganjarpranowo 🤟🤟🤟🤟,2022-12-17 00:00:14,PDI-P,positive
@geloraco Lembaga ga paham tupoksi.,2022-12-17 00:00:26,NasDem,negative
@bravetrackindo @BudiTatik @ezkisuyanto Yakin lu....entar PKI yang nyungsep lagi🤣😄,2022-12-17 00:00:33,NasDem,negative
"@Abenk12356649 @SeruniPuspaAlam @NasDem @aniesbaswedan Ini lha salah satu ciri pendukung anies, kasar dan nga pernah sekolah",2022-12-17 00:00:51,NasDem,negative
https://t.co/bUHcKHzWvt,2022-12-17 00:00:53,Gerindra,negative
Syarif menyebut birokrasi pasca Anies lengser ada kesamaan irisan jaman Ahok. https://t.co/CP2YZNUWwZ,2022-12-17 00:01:02,Gerindra,neutral
@mediocrickey @AndreasMarbun_ Pram bukan si?,2022-12-17 00:02:18,Golkar,negative
@tiyok_pras @AgusYudhoyono Itu wisma atlit hambalang bukan?,2022-12-17 00:02:39,PartaiDemokrat,negative
"Anggota Bawaslu RI, PUADI meminta Capres partai Nasdem Anies Baswedan untuk tidak melakukan aktivitas kampanye terselubung dan curi star terhadap Pemilu 2024,sebab saat ini belum memasuki masa kampanye. https://t.co/oy872KPwDY",2022-12-17 00:02:56,NasDem,neutral
