text,created_at,tag,sentiment
"Kenapa KH Bukhori Yusuf dipilih jadi narsum? Di sela kesibukannya di parlemen, pria ini turut aktif dalam kegiatan dakwah di masyarakat. Bukhori kerap mengisi kegiatan pada acara kajian Islam yang diselenggarakan oleh masyarakat melalui majelis taklim. https://t.co/UZGi5LcbrS",2023-05-23 00:00:02,PKS,positive
"@SorayaRahman58 @aniesbaswedan @AgusYudhoyono @NasDem Jamsn SBY bsngun jalan
Jaman Jokowi bangun jalan
Jaman Anies merusak jalan .
Maha Karya Sumur Resapan

Kalo mau ngritik orng grayangi dulu jithoknya.",2023-05-23 00:00:05,PartaiDemokrat,negative
"PDIP menyatakan siap mengisi kursi panas Menteri Komunikasi dan Informatika (Menkominfo) sepeninggal politisi Partai NasDem Johnny G Plate yang terjerat kasus rasuah. 

Link: https://t.co/HUZyNatIOu

#pdip #menkominfo #johnnygplate #nasdem #pilpres2024 #nalar #pinterpolitik",2023-05-23 00:00:07,NasDem,neutral
"@liputan6dotcom Siapakah calon presiden pilihanmu di 2024?
Vote sebagai bentuk kepedulianmu terhadap pemilu ini! 

Retweet, like, dan reply untuk mendukung polling ini. Follow akun kami untuk mendapatkan agregat laporan. 🦾

#prabowo #anies #ganjar #pilpres",2023-05-23 00:00:08,Gerindra,neutral
"Lalu, benarkah posisi Menkominfo menjadi “kartu” yang memang menarik secara politik? Adakah kaitannya keputusan Presiden Jokowi menunjuk Menkominfo baru dengan Pemilu maupun Pilpres 2024?",2023-05-23 00:00:16,NasDem,neutral
"@Anak__Ogi Anies sudah berani bilang mafia BTS harus dibereskan. 

Kapan nih yg sebelah berani bilang harun mashiku harus ditemukan .? 

Takut sama partai .? 
Capres cemen🤣🤣🤣",2023-05-23 00:00:22,NasDem,negative
@albertocung @aniesbaswedan @AgusYudhoyono @NasDem Ternyata ga ada yg perlu ditenggelamkan dgn bgtu akan tenggelam dgn sendirinya 😂😅,2023-05-23 00:00:35,PartaiDemokrat,negative
@KakekHalal Salam perubahan 😂😂😂💪,2023-05-23 00:00:37,Gerindra,positive
@YusufNusantara5 @Pai_C1 @PKSejahtera @MardaniAliSera Belum lg ideologinya IM,2023-05-23 00:00:41,PKS,neutral
@Dennysiregar7 Presiden nya siapa ya,2023-05-23 00:00:47,NasDem,negative
@emerson_yuntho @FPKSDPRRI @PKSejahtera Satir bgt,2023-05-23 00:00:58,PKS,neutral
@SorayaRahman58 @aniesbaswedan @AgusYudhoyono @NasDem Yoi gosah cape2 keluar tenaga🤣,2023-05-23 00:00:59,PartaiDemokrat,negative
@janganngadu Modelannya gini @PKSejahtera  ??? https://t.co/lmyvwzu38r,2023-05-23 00:01:06,PKS,neutral
@KakekHalal 👍,2023-05-23 00:01:25,Gerindra,positive
@kompascom Koq bisa.....tapi mau buat restorasi....perubahan...🤣🤣🤣,2023-05-23 00:01:28,NasDem,neutral
"@Uki23 Check ke @NasDem , apakah benar irma hutabarat mantannya?",2023-05-23 00:01:38,NasDem,neutral
@PP_PIRAofficial Bpk  Prabowo Subianto Presiden ke 8 idola saya sejak pencalonan pertama...beliau punya hati seluas Indonesia raya ... semangat ya pak ..kami dukung bapak...,2023-05-23 00:01:40,Gerindra,positive
@KakekHalal Perubahan itu ada tapi knp Mereka tidak mau berubah padahal sdh di beri kesempatan untuk bersama membangun bangsa,2023-05-23 00:01:49,PDI-P,negative
"@AntiPekines @Gerindra @prabowo Gada yg kaget, heran krn semua partai begitu 😂😂😂😂 gak seru 🤭",2023-05-23 00:01:52,Gerindra,negative
@sukmawijaya91 @aniesbaswedan @AgusYudhoyono @NasDem Wkwk 🤣 Rekam jejak 🤭,2023-05-23 00:01:52,PartaiDemokrat,neutral
"@PDI_Perjuangan Buang2 uang sia2 aja (kayak banyak proyek gagal di pemerintah), kami ramal MPP hanya akan bertahan paling 1 tahun (utk pemilu). @RamliRizal",2023-05-23 00:01:58,PDI-P,negative
@albertocung @aniesbaswedan @AgusYudhoyono @NasDem 😅🤭,2023-05-23 00:02:08,PartaiDemokrat,neutral
"@PDemokrat Mafia Bts meng Gasak 8T
Klo jadi RI 1 berapa yg akan di GASAK ?

Hati hati !!!",2023-05-23 00:02:09,PartaiDemokrat,negative
