text,created_at,tag,sentiment
@Yurissa_Samosir ALLAHU AKBAR.....,2023-01-30 00:00:08,NasDem,negative
@OposisiCerdas Go to hell partai oligarki,2023-01-30 00:00:21,NasDem,neutral
"@Tn_Roterdam @Dorraemon_ @AgusYudhoyono Betulll Bng ,menilai orng jangan dari luar ,coba cek apa dari kita bagus ,AHY pemimpin perubahan dan perbaikan",2023-01-30 00:00:28,PartaiDemokrat,positive
@Official_PAN Persahabatan bagai kedongong🤣,2023-01-30 00:00:30,PAN,neutral
"@ScreamMovies @ParamountPics @ParamountMovies @teppy87 @LeoDiCaprio @TitanicMovie @bestofwinstead @GhostfaceTalks_ @kikifarrel @PKSejahtera @abdurarsyad @JYPETWICE @JYPETWICE_JAPAN @MoMo_GEISHA @Giring_Ganesha @JoeBiden @KamalaHarris @realDonaldTrump @BarackObama hello ,morning?",2023-01-30 00:00:30,PKS,neutral
"@ray_sa01 @nahdlatululama @DPP_PKB @DPP_PPP makanya turun kebawah, jgn hanya beropini

pejuang medsos, jauh berbeda dgn pejuang dilapangan

#PolitikKebangsaanNU",2023-01-30 00:00:54,PKB,negative
Maman Abdurrahman Caleg DPR-RI Dari Partai Golkar No Urut 8 Dapil Se-kalimantan Barat,2023-01-30 00:00:56,Golkar,neutral
"@cabronesmetal @Robbygseb @prastow @IskanQL @PKSejahtera 3) Investasi oleh BPKH juga mendapat dukungan dari DSN MUI mengenai akad wakalah, juga bekerja sama dengan OJK dan Bank Indonesia dalam pengelolaan keuangan syariah.",2023-01-30 00:01:18,PKS,neutral
@Kimberley_2022 @tukangrosok22 @AgusYudhoyono Semoga duit negara nggak habis buat beli bedak....,2023-01-30 00:01:22,PartaiDemokrat,neutral
@Yurissa_Samosir Mantap mbake,2023-01-30 00:01:25,NasDem,positive
"Info Bocoran,  Nasdem akan keluar dari koalisi PKS ,Demokrat , 
Calon hanya akan 2 pasangan 
Ganjar -airlangga/Erick VS Prabowo -cak imin
PKS  dan Demokrat hanya akan jadi penonton ,",2023-01-30 00:01:30,NasDem,neutral
@yusuf_dumdum 😂..kok sama narasinya.....,2023-01-30 00:01:42,NasDem,negative
@ch_chotimah2 @ganjarpranowo @prabowo @aniesbaswedan @NasDem Dibilang ga laku tapi ente ketakutan banget Chot.. Apalagi kalo laku bisa stroke ente Chot,2023-01-30 00:02:10,NasDem,negative
"@cecacoww 😭😭😭
gue ngakaknya pas dia bahas gerindra anjir😭😭 katanya nonfans tapi tau detail dah😂😂",2023-01-30 00:02:16,Gerindra,negative
@alisyarief Prof itu sdh fix saya mah Anies pasangan dgn siapa saja jos gandos pertemuan SP dgn pak Jokowi gak utik2 koalisi Nasdem PD PKS kan Prof,2023-01-30 00:02:37,NasDem,negative
@Relawananies https://t.co/y4fdJSK2Vy,2023-01-30 00:02:40,NasDem,neutral
@aniesbaswedan @NasDem @PDemokrat @PKSejahtera BAPAK POLITIK IDENTITAS,2023-01-30 00:02:46,PKS,neutral
@ZeboLady @KPU_ID @bawaslu_RI apakah bs masuk muri ...bacapres yg terlama kampanye?,2023-01-30 00:02:49,NasDem,neutral
@HanifahAndini96 Mungkinkah suaminya ~ @AgusYudhoyono tidak tahu?,2023-01-30 00:02:50,PartaiDemokrat,negative
@abu_waras @hepipurwana #nasdempartaiku #aniesbaswedan #AniesPresidenRI2024,2023-01-30 00:02:56,NasDem,neutral
@KompasTV @indra_ibn7 Minta ama Bapaknya jadi Menpora mumpung menjabat CEO Republica Indonesiakah,2023-01-30 00:03:15,PKS,neutral
@geloraco Hahaha pendek amat mikirnya kalo bener.....😅😋,2023-01-30 00:03:19,NasDem,negative
"@TotoLoekito @aniesbaswedan @NasDem @PDemokrat @PKSejahtera Rakyat Mane tong yang ente maksut,",2023-01-30 00:03:28,PKS,negative
Pengaruh King Maker di NasDem dan PDIP untuk Pilpres 2024 https://t.co/IKgRFDjkrQ,2023-01-30 00:03:38,NasDem,neutral
@Relawananies Ngibul terussss...,2023-01-30 00:03:49,NasDem,negative
"@Dennysiregar7 Anies tidak tergantung Surya Paloh
Partai demokrat,PKS bisa angkat Anies jadi presiden ..
Akhir ini ada sekelompok cebong sarap, coba memecah belah koalisi perubahan .. tidak bisa ...bung koalisi perubahan ...sangat solid...",2023-01-30 00:04:00,PartaiDemokrat,neutral
@tukangrosok22 @AgusYudhoyono Mak lampir lagu pesta sama teman2nya merayakan kondisi negara yg sedang tdk baik2 saja 🤣🤣🤣 MUNAFIK!!!!,2023-01-30 00:04:06,PartaiDemokrat,positive
Analysis: Ridwan Kamil joins Golkar. Who benefits? - Academia - The Jakarta Post https://t.co/ZLAGhXn4nh https://t.co/F27kOYR6Tf,2023-01-30 00:04:10,Golkar,neutral
Sosok Pemimpin yg berjiwa Besar...selalu mengutamakan kepentingan Masyarakat nya... #prabowokita #milenialbersatu #gerindra #dpdgerindrabali #dpcgerindrabangli #degadjah https://t.co/xnZrGpS4QR,2023-01-30 00:04:20,Gerindra,positive
"@PDemokrat saya dukung pakdhe @Smsl_alghozali untuk jadi jubir baru partai ini.. 
biar ga dibully rakyat.. 
kalo beri nasehat adem dan ga typo. ✌🤟",2023-01-30 00:04:42,PartaiDemokrat,positive
