text,created_at,tag,sentiment
"@NasDem Terbuka dong, selesai pencoblos langsung terbaca dilayar, karena kalau tertutup masih banyak pihak terutama orang berduit yang tidak tega kursi DPRD/DPR diambil orang",2023-05-30 00:00:03,NasDem,negative
@NasDem @pranandapaloh mantab bang,2023-05-30 00:00:08,NasDem,positive
"@Widya_Makmur11 BUKAN karya @aniesbaswedan ya !

Bukan menjadi seperti itu ""narasi dan perubahan"" yg dilakukannya di DKI.
Tapi;
Rumah sakit👉Rumah Sehat
Banjir👉 Parkir air
Reklamasi👉Perluasan daratan
Gusur👉 Geser
...
@YanHarahap
@NasDem 
@Metro_TV
@tatakujiyati
@panca66 
@bachrum_achmadi",2023-05-30 00:00:15,NasDem,negative
@arifinpribadi @PDemokrat @mohmahfudmd Suara terbanyak....saweran jg kah. ??,2023-05-30 00:00:17,PartaiDemokrat,negative
@harris_new2 @SBYudhoyono @AgusYudhoyono @PDemokrat @Pak_JK @aniesbaswedan https://t.co/dVneAJoNqR,2023-05-30 00:00:22,PartaiDemokrat,neutral
"@Kayakuwek @YanHarahap @PDemokrat Tunjukkan dirimu anjing!seperti apa rupanya kau,jangan jangan gigimu tonggos.",2023-05-30 00:00:36,PartaiDemokrat,negative
"@BennyHarmanID Satu yg kalian lupa, aktor2 reformasi 98 kini bergeming, membisu, pura2 buta &amp; tuli dgn keadaan ini. Mirisnya lg para aktor itu ngumpul d satu parte yg justru mengusulkan perubahan sistem pemilu tertutup. Reformasi hny topeng!

Alfatihah terkhusus utk HM. SOEHARTO 🤲",2023-05-30 00:00:37,PartaiDemokrat,negative
@SBYudhoyono Kader : .....wani piro??,2023-05-30 00:00:40,PartaiDemokrat,neutral
@RiryparasE Politik Tampa Mahar partai Nasdem palsu belaka dan munafik hanya kedok untuk merampok uang rakyat.,2023-05-30 00:00:44,NasDem,negative
@NasDem Terbuka. Kita bisa memilih dengan jelas kandidat.,2023-05-30 00:00:45,NasDem,neutral
"@KaredokLeunca__ Heeuh nya Mak,  kumsi we (kumaha siah we) 🤭
Oooppppsss my bad 🤦‍♀️",2023-05-30 00:00:46,NasDem,negative
@PDemokrat Saya Prihatin lihat pak SBY 😔😔😔😔,2023-05-30 00:00:57,PartaiDemokrat,negative
"@edhus81 @olvaholvah @NasDem @pranandapaloh @aniesbaswedan @jokowi @ganjarpranowo @prabowo @KemenkesRI @Kemdikbud_RI @KemenkeuRI @KemensosRI @DrEvaChaniago Ruang kosong yg selama ini belun terisi sejak 19 agustus 1945. Adalah TAFSIR BAKU dari 5 sila ini.. 
Yg semustinya tafsir baku itu berkedudukan diatas HUKUM. sehingga tidak lagi ditafsirkan (provate) semau maunya ..",2023-05-30 00:01:10,NasDem,negative
@NasDem @aniesbaswedan Dia yg tukang bohong kok,2023-05-30 00:01:16,NasDem,negative
@tempodotco Istighfar 1000 x,2023-05-30 00:01:26,PartaiDemokrat,neutral
"@Gerindra @PKSejahtera @PDemokrat @psi_id @PDI_Perjuangan @YLKI_ID @DKIJakarta @aniesbaswedan ga adakah dari anggota DPRD DKI yang menyoroti kinerja @PT_Transjakarta yg pelayanannya makin kacau, carut marut nyebelin bingit pokoknya",2023-05-30 00:01:31,Gerindra,negative
@logikapolitikid @psi_id hahahaahahaha @PKSejahtera mulai takut ladang nya di obok obok 🤭🤭🤭🤭,2023-05-30 00:01:38,PKS,negative
@embah72 @arifinpribadi Good Jobbb....👍,2023-05-30 00:01:43,NasDem,positive
"@olvaholvah @NasDem @pranandapaloh @aniesbaswedan @jokowi @ganjarpranowo @prabowo @KemenkesRI @Kemdikbud_RI @KemenkeuRI @KemensosRI @DrEvaChaniago Kasi tau teman loe, korupsi 8 T itu untuk apa saja. Kalau cuma untuk makan gak habis untuk 7 turunan. Tapi jika untuk biaya politik sampai kapanpun tak akan cukup . 😭😭😭 https://t.co/wspkm7z5qD",2023-05-30 00:01:43,NasDem,negative
@_Rizmaya__ @PDI_Perjuangan @jokowi @budimandjatmiko Keren untuk menuju masa depan INDONESIA GEMILANG 🇮🇩👍🇮🇩,2023-05-30 00:01:54,PDI-P,positive
"@YanHarahap @Reiza_Patters Pembegalan @PDemokrat memang serius dan gak main2, kelompok begal kan sudah full tim nya, tinggal menunggu sah atau tidak sah dan itu sangat mungkin disahkan. Sekali sikat dpt dua keuntungan, pertama dpt kapal (Demokrat) kedua dpt ikannya (penjegalan Anies).",2023-05-30 00:02:01,PartaiDemokrat,negative
"@PDemokrat Oh iyaaa.. partai politik seharusnya mendidik kaderw bukan mencalonkan org2 yg diluar partai untuk katakanlah biar ada suara diparlemen wakil dari partainya dll

Yg trjadi sprti itu skrg pak",2023-05-30 00:02:25,PartaiDemokrat,negative
@SBYudhoyono Smg pak moldoko menang telak,2023-05-30 00:02:27,PartaiDemokrat,neutral
@PDemokrat @SBYudhoyono @AgusYudhoyono Mau nanya kenapa @SBYudhoyono membegal Partai Demokrat,2023-05-30 00:02:33,PartaiDemokrat,neutral
"@dennyindrayana Hanyalah seorang PENGECUT tanpa NYALI yg bisa berkoar dari luar halaman rumah sambil berteriak provokasi.

Klw ga ada nyali, mending diem aja.",2023-05-30 00:02:45,PartaiDemokrat,negative
@GP_GarisLucu @PakJenggot___ @RomeoWalker19 @eyudya @SBYudhoyono @AgusYudhoyono @PDemokrat @Pak_JK @aniesbaswedan Kalau jalannya air sumur ditengAh jalan.,2023-05-30 00:02:48,PartaiDemokrat,neutral
"@PDemokrat Hancurnya Demorat
Pengurus,anak buah sama aja...
Mencari korban untuk disalakan karena uda tau bakal nyungsep...",2023-05-30 00:02:54,PartaiDemokrat,negative
@LabungaJamal @NasDem Kita evaluasi???? Apa selama ini bisa?,2023-05-30 00:03:15,NasDem,negative
"@Syarman59 @NasDem Bisa juga hanya orang dekat pengurus partai dan satu lagi, orang yang paling banyak ngasih setoran.",2023-05-30 00:03:31,NasDem,negative
