text,created_at,tag,sentiment
"Dan kalau diperhatikan, kenapa Anies hanya mengingatkan PKS doang, bukan NasDem atau Partai Demokrat agar jangan menyebarkan hoax? Memang benar adanya kader partai tersebut ada yang doyan menyebarkan hoax.

Jerome
David https://t.co/TUPZ1Mi1ti",2023-02-28 00:00:00,PartaiDemokrat,negative
"Dan kalau diperhatikan, kenapa Anies hanya mengingatkan PKS doang, bukan NasDem atau Partai Demokrat agar jangan menyebarkan hoax? Memang benar adanya kader partai tersebut ada yang doyan menyebarkan hoax.

Jerome
David https://t.co/PXd9RSoK9b",2023-02-28 00:00:00,PartaiDemokrat,negative
"Dan kalau diperhatikan, kenapa Anies hanya mengingatkan PKS doang, bukan NasDem atau Partai Demokrat agar jangan menyebarkan hoax? Memang benar adanya kader partai tersebut ada yang doyan menyebarkan hoax.

Jerome
David https://t.co/Kw61KQd9Q8",2023-02-28 00:00:01,PartaiDemokrat,negative
"Mas @AgusYudhoyono dimata @sandiuno 🥰.
xvf

#AHY
AgusYudhoyono
PDemokrat
https://t.co/naQDylrRnN",2023-02-28 00:00:14,PartaiDemokrat,neutral
"Beginilah pendapat mbak @yennywahid terhadap mas @AgusYudhoyono.
zqd

#AHY
AgusYudhoyono
PDemokrat
https://t.co/jYmjjWBJ6L",2023-02-28 00:00:20,PartaiDemokrat,negative
"Beginilah pandangan mas mentri @sandiuno terhadap mas @AgusYudhoyono.
r\i

#AHY
AgusYudhoyono
PDemokrat
https://t.co/tOOqu6ux0K",2023-02-28 00:00:22,PartaiDemokrat,neutral
"Beginilah pandangan mas mentri @sandiuno terhadap mas @AgusYudhoyono.
mpg

#AHY
AgusYudhoyono
PDemokrat
https://t.co/tOOqu6ux0K",2023-02-28 00:00:24,PartaiDemokrat,neutral
@keuangannews_id Gk lakulah diobral saja gk mau aplg gratis 😀🤪😗,2023-02-28 00:00:31,Golkar,negative
"Pak menteri @sandiuno bicara tentang AHY @AgusYudhoyono.
]sf

#AHY
AgusYudhoyono
PDemokrat
https://t.co/RDPZoex2Gd",2023-02-28 00:00:32,PartaiDemokrat,neutral
"Putri GusDur Mbak @yennywahid bicara tentang AHY @AgusYudhoyono.
o_z

#AHY
AgusYudhoyono
PDemokrat
https://t.co/BqL2PcjxNE",2023-02-28 00:00:34,PartaiDemokrat,neutral
"Pak @aniesbaswedan bicara soal AHY @AgusYudhoyono.
iso

#AHY
AgusYudhoyono
PDemokrat
https://t.co/HbP4JP4lUJ",2023-02-28 00:00:37,PartaiDemokrat,neutral
"Pucuk Dingin Bosss... Mantap mas @AgusYudhoyono.
stm

#AHY
AgusYudhoyono
PDemokrat
https://t.co/6otLVQSww7",2023-02-28 00:00:40,PartaiDemokrat,positive
@dimbambam @Gerindra @vuotka Mindra mungkin ini bisa jadi pertimbangan 🙏🏻 @Gerindra,2023-02-28 00:01:09,Gerindra,neutral
"NasDem Sentil Heru dan SDA Jaktim soal Banjir Cawang.

Jangan Warga Akhirnya Pasrah, mana tanggung jawab Pemrov DKI.

https://t.co/A657z5a5Vk",2023-02-28 00:01:11,NasDem,negative
"4_ ☆Yusak Yaluwo Ketua DPD Golkar Papua Selatan
☆Lambertus Jitmau Ketua DPD Golkar Papua Barat Daya.

#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #AirlanggaPresiden",2023-02-28 00:01:17,Golkar,neutral
"@keuangannews_id Skenario mukidi dan opung cs begitu, via KIB ganjar erick maju.

Biar ekonomi liberal terus berkelanjutan. Utang segunung, korupsi merajalela, IPK terburuk.",2023-02-28 00:01:27,Golkar,negative
"@PKSejahtera @aniesbaswedan rekam jejak apaan sih ?, bingung kalo Anies ngomongin rekam jejak hehe, rekam jejak bikin2 jembatan penyebrangan &amp; cat genteng warna warni ? 🤣, atau rekam jejak Terapi Kejut diawal Pandemi? atau ide pengganti Normalisasi yg gak pernah terwujud??, heran sama yg usung &amp; dukung dia",2023-02-28 00:01:50,PKS,negative
"Partai Demokrat menegaskan, menolak untuk sistem pemilu kembali ke proporsional tertutup. Apalagi sistem proporsional terbuka juga sudah melalui gugatan di Mahkamah Konstitusi (MK)

#pemilu2024 #pemiluserentak2024 
 https://t.co/AI54cFMxx2 via @medcom_id",2023-02-28 00:01:51,PartaiDemokrat,neutral
@NasDem @aniesbaswedan Kuda aja tau mana yang tidak baik buat dirinya. Masak aku kalah sama kuda. Aku tidak spt nasdem.,2023-02-28 00:01:57,NasDem,negative
@alisyarief Kayak gak kenal golkar aja.. selalu maen 2 kaki..gak ada pengaruh 🤣🤣🤣,2023-02-28 00:02:09,Golkar,negative
@ch_chotimah2 @NasDem Itu artinya orang.....???,2023-02-28 00:02:22,NasDem,negative
"@AgusYudhoyono Masha Allah 
😍😍😍😍😍",2023-02-28 00:02:27,PartaiDemokrat,positive
@PKSejahtera @aniesbaswedan Butuh Cermin yang Besar.,2023-02-28 00:02:46,PKS,negative
"@fahiraidris @rmol_id Ayuuu bu. DPD juga punya andil memperbaiki nasib negara. Bergabunglah,dukunglah agar kita lebih baik lagi dari saat ini",2023-02-28 00:02:49,NasDem,positive
@DreamerKeeho NGAKAK WKWKWKWKWK,2023-02-28 00:02:55,Gerindra,negative
"@wisanggeni_084 biar jd presiden @PKSejahtera saja
dukung👍",2023-02-28 00:03:31,PKS,positive
"“Gerindra akan mengajak partai-partai yang sudah atau belum menentukan capresnya untuk mendukung Prabowo Subianto sebagai capres,"" ujar Muzani.

@prabowo

#capres2024

#pemilu2024

#dekade08

#terusmajubersamaprabowo

#mendingprabowo

Mending Prabowo Aja",2023-02-28 00:03:33,Gerindra,neutral
